take_off_2_episode,take_off_2_rewards
1,-0.09975435958617454
2,-0.005748412173138409
3,-0.24592581897882068
4,-0.3978812583162076
5,-0.40068545768220476
6,-0.5639466388373675
7,-0.07304239118523201
8,-0.06794441559089048
9,-0.06096234123539944
10,-0.20158356659038976
11,-0.26587378401229533
12,-0.6863151797393746
13,-0.011083724004849886
14,-0.027486899358780757
15,-0.010006013606951835
16,-0.007627454572814511
17,-0.0047245402586603156
18,-0.0031475607269406737
19,-0.004673365901116496
20,-0.0013497196110656084
21,-0.0012775529535010047
22,-0.001197636749445649
23,-0.0011205444926139802
24,-0.0010298531926444547
25,-0.0009552457042417241
26,-0.0008739706267295996
27,-0.0007853473754856682
28,-0.0007192002828238346
29,-0.0006374066824826586
30,-0.0005695289997739168
31,-0.000499555561599654
32,-0.0004381796002818806
33,-0.00038736983465130416
34,-0.0003326187437224587
35,-0.00028145247551196435
36,-0.00023929887444955057
37,-0.000208188608734852
38,-0.0001992715956595259
39,-0.00018700340877310883
40,-0.00017292987593199276
41,-0.00016025819377443715
42,-0.000143138400836997
43,-0.00012864430090075372
44,-0.00010833910944786656
45,-9.366818400369248e-05
46,-7.889924603915862e-05
47,-7.05769378671291e-05
48,-8.60422498186188e-05
49,-9.362962377590579e-05
50,-0.00010663369187705632
51,-0.00011884305095442843
52,-0.00011454199781606817
53,-0.00011789954913364814
54,-0.00011190163262176636
55,-0.00010935374311147391
56,-0.00010637932132215533
57,-9.433845718966559e-05
58,-8.190572396786885e-05
59,-6.813573831313181e-05
60,-7.819965193974203e-05
61,-8.954698698630543e-05
62,-0.00010420267558709361
63,-0.00011814804991516092
64,-0.00013207077353282387
65,-0.00014565146944538654
66,-0.00015465840664579745
67,-0.00016690323138814187
68,-0.00017613658853053311
69,-0.00018893035498727216
70,-0.00019855472330118518
71,-0.00020405672802355115
72,-0.00021365489514648214
73,-0.00021833978494634418
74,-0.00022829879297352266
75,-0.0002489207778728074
76,-0.00028725174935211734
77,-0.00032667241167521786
78,-0.00036438986219275
79,-0.0004079058677382052
80,-0.0004684157498516074
81,-0.0005206077582523629
82,-0.0005899070713495427
83,-0.0006462339108403007
84,-0.0007280199712548523
85,-0.0008004115511504857
86,-0.0008851795996126334
87,-0.00097639063008389
88,-0.001048879916731616
89,-0.001132633562550914
90,-0.0049396455458271
91,-0.0054049952297060356
92,-0.0055593360144655
93,-0.0052733298415682285
94,-0.004467848030197845
95,-0.003663461133944933
96,-0.005624736464178901
97,-0.007796572574532923
98,-0.010083177935832483
99,-0.011811035451757617
100,-0.012842102317817827
101,-0.03904930515604134
102,-0.15407873533183136
103,-0.025668571715770735
104,-27.89257015473719
105,-0.21522342328581778
106,-0.010842956856589822
107,-0.01054750173359938
108,-0.010221206211934415
109,-0.009891284538336157
110,-0.009501282151852154
111,-0.00883572611522015
112,-0.008082796462417531
113,-0.006969897138026674
114,-0.005783923019038558
115,-0.004549839105404958
116,-0.004970065692156037
117,-0.005508443608032572
118,-0.00600807580852806
119,-0.006281591176383373
120,-0.006571471977131183
121,-0.006714716227310227
122,-0.006753080830509428
123,-0.006757037197170227
124,-0.00676978594333332
125,-0.006815405731066548
126,-0.006812497132533529
127,-0.0068506000652893105
128,-0.006848303390497012
129,-0.006788354732361316
130,-0.00685672793058379
131,-0.006791573089687387
132,-0.006753072658574144
