take_off_2_episode,take_off_2_rewards
133,-0.006595127889432607
134,-0.006562571808433388
135,-0.006740348361477341
136,-0.006807378617275837
137,-0.006781477597510217
138,-0.006686355544122787
139,-0.006720246988630612
140,-0.006636998386046882
141,-0.006599813683662554
142,-0.006638636633184732
143,-0.0066522567490420225
144,-0.006565442488003063
145,-0.006434054765142245
146,-0.006365923520075017
147,-0.006326513308250378
148,-0.006529893273949714
149,-0.006669360283418585
150,-0.0067949738800191836
151,-0.006815167209113248
152,-0.006757831813037233
153,-0.006849919848969012
154,-0.006727397323766109
155,-0.006553929113833158
156,-0.006446773429062797
157,-0.006302487084143818
158,-0.006149849106250532
159,-0.006219645599481505
160,-0.0063097457865137286
161,-0.006715890510745979
162,-0.007516273710142709
163,-0.008430280551642676
164,-0.009212357648873258
165,-0.00993755977137103
166,-0.010956418770350683
167,-0.012116848264962404
168,-0.013116975391119896
169,-0.01395114248927907
170,-0.014549082155273379
171,-0.014969391476398086
172,-0.015527960374455722
173,-0.01608383668853096
174,-0.0164022228533481
175,-0.016791548144573325
176,-0.016899553083947964
177,-0.01692407441232869
178,-0.01700451853915324
179,-0.016919714493552413
180,-0.01669385597069845
181,-0.01640592598211147
182,-0.015895977957825984
183,-0.015498309730051727
184,-0.015161791857579699
185,-0.014882426633811197
186,-0.03432148211034078
187,-0.03697434793899122
188,-0.03660862468861746
189,-0.03795407626841858
190,-0.03814101880400607
191,-0.01565288645731283
192,-0.015294443133345574
193,-0.015053705771155038
194,-0.014902238122704074
195,-0.014865257240439831
196,-0.014862711088994196
197,-0.014729409867137142
198,-0.014621994109201042
199,-0.01435917450676404
200,-0.01420641816846004
201,-0.01421722874769202
202,-0.014022824460536513
203,-0.013934886505256792
204,-0.013933130432183005
205,-0.013969801974163313
206,-0.014015096984942169
207,-0.014130745489985493
208,-0.014362716725853838
209,-0.014672665698803176
210,-0.014848080203229627
211,-0.015011837672048275
212,-0.015143478632844395
213,-0.015274757209020341
214,-0.015257705745145173
215,-0.015384699503550363
216,-0.015487555498739976
217,-0.04032879767153305
218,-0.04110307246906427
219,-0.04186498482668463
220,-0.04255064032175533
221,-0.08300250797477325
222,-0.08318942840572488
223,-0.13579966469908472
224,-0.037039353839743494
225,-0.03131281215498937
226,-0.01070484899170258
227,-0.008846186078666985
228,-0.00755702400371274
229,-0.0067744078198440595
230,-0.0063898709824219925
231,-0.0061532121808606875
232,-0.005999019106755809
233,-0.005884465355430252
234,-0.005860333110836396
235,-0.005852686023735841
236,-0.005876979240509337
237,-0.005927471370872483
238,-0.00598324387355288
239,-0.006061223445430016
240,-0.006103298621095595
241,-0.006165283624867288
242,-0.0062244480607349705
243,-0.006270989099303338
244,-0.006283665787407931
245,-0.00627455618359348
246,-0.006339742711031719
247,-0.006501407823312465
248,-0.006948559543866924
249,-0.007810224196190517
250,-0.008925124024587224
251,-0.010107767044480605
252,-0.011357665377869454
253,-0.012274696721495108
254,-0.012851701800882612
255,-0.03767993394746864
256,-0.05959917610277906
257,-0.17853709098036807
258,-0.7159689482723477
259,-22.170402598198674
260,-22.998628923675245
261,-20.78019899369489
262,-25.261060310972617
263,-25.65428008870522
264,-25.129687911920293
265,-14.41207714687946
266,-0.003716480103979934
267,-0.0033052129979741452
268,-0.002799442678223983
269,-0.0011351584022746806
270,-0.0018432873183668107
271,-0.0030589021038118567
272,-0.0033371833823172092
273,-0.0027145621099395147
274,-0.0013279236219714441
275,-0.0010230077821974351
276,-0.0010000038620959827
277,-0.0016161790802993212
278,-0.002471122583805071
279,-0.0034033357536516363
280,-0.003463889471723157
281,-0.00278017979477004
282,-0.0018188420405162542
283,-0.0014940733152139017
284,-0.0025860502122645908
285,-0.00250984267414514
286,-0.0025862696514844085
287,-0.002748920580647717
288,-0.0029216226308825307
289,-0.0037499148502369156
290,-0.004351252143295388
291,-0.004370304038677974
292,-0.004259493543066152
293,-0.004190875870471024
294,-0.004087273559748354
295,-0.004013525513342015
296,-0.003952466269798621
297,-0.003948894392300518
298,-0.004030951695516101
299,-0.0041228432448030036
300,-0.0041621548916658145
301,-0.004248368950647672
302,-0.004385506271936069
303,-0.004459153006898279
304,-0.004517504314862549
305,-0.004499244372727781
306,-0.0042679929420599005
307,-0.004185560896023283
308,-0.00410521380249383
309,-0.004085184633337567
310,-0.0040433916782025145
311,-0.004091805968471161
312,-0.004008422235323488
313,-0.003989386003399842
314,-0.003912709309290711
315,-0.0038052144828420796
316,-0.003825611009872049
317,-0.003907609985005874
318,-0.0038863455905803587
319,-0.003934743016668497
320,-0.003988808561421068
321,-0.0040934608785034715
322,-0.0042879637185991555
323,-0.00441383406690504
324,-0.004503728008220607
325,-0.0046297217982981
326,-0.005417847555601681
327,-0.0058776490438923155
328,-0.006234491814203026
329,-0.006518227926809355
330,-0.007173907310601537
331,-0.00788606094356779
332,-0.008699109557442563
333,-0.009151596973777505
334,-0.009639701652088594
335,-0.009930101494143024
336,-0.010399464515806079
337,-0.02516380708697403
338,-0.027403004532964167
339,-0.028859294442073115
340,-0.056348147922645225
341,-0.2576862462281919
342,-0.21676357738804886
343,-0.19965267299823874
344,-0.17637206193099084
345,-0.18277444340075163
346,-0.15700222285013027
347,-0.16665613451685035
348,-0.1549200722223858
349,-0.1615660999045526
350,-0.13701341574572062
351,-0.13899596597566022
352,-0.1420450514038824
353,-0.04436762832373273
354,-0.04511963162321261
355,-0.04473309254384771
356,-0.044007934473301924
357,-0.04541390696861711
358,-0.04895325865466124
359,-0.04870597035560705
360,-0.05076288436657615
361,-0.05197296836332692
362,-0.054057789967195
363,-0.05481024708491384
364,-0.0569949985032824
365,-0.0545176342939932
366,-0.0552484121312369
367,-0.05569362734926551
368,-0.056022505874809295
369,-0.057382498113799196
370,-0.05651144851572562
371,-0.06936386005569983
372,-0.07533561883698844
373,-0.07473110718344089
374,-0.0751913697693771
375,-0.06183908895365378
376,-0.06270463541334637
377,-0.06413467545533734
378,-0.0637142286336806
379,-0.06447074633527548
380,-0.06539186756153514
381,-0.06584790527350023
382,-0.06482817174879818
383,-0.06547866026889747
384,-0.06735931723943193
385,-0.06698980221784107
386,-0.06695353144046323
387,-0.07001310580550785
388,-0.08626920156661265
389,-0.07061898778440764
390,-0.0685013735280527
391,-0.06895304460208566
392,-0.06753100353745778
393,-0.06763430264183512
394,-0.06725405130043384
395,-0.06906084211137029
396,-0.06880159816359899
397,-0.06716791652173837
398,-0.06770792245880311
399,-0.06781105735163896
400,-0.0677445727932662
401,-0.06729541550495453
402,-0.06746278331623122
403,-0.06768086316827765
404,-0.06793518718000184
405,-0.06869514227080986
406,-0.06942978750568064
407,-0.06834933490757061
408,-0.06744108591936296
409,-0.06933749976717378
410,-0.06851220461406454
411,-0.06879191245186056
412,-0.06887071028986988
413,-0.06898757756849123
414,-0.06904958553939514
415,-0.06843429918565587
416,-0.06852414270730214
417,-0.06971751244559715
418,-0.06838952138047026
419,-0.06886798377657732
420,-0.07017826081530444
421,-0.06937855678857574
422,-0.07167565368940343
423,-0.07310534725946059
424,-0.0761762503026175
425,-0.07348261645977597
426,-0.07311963126283123
427,-0.07256013048812225
428,-0.07162638902117914
429,-0.0724159739650108
430,-0.07249691179716108
431,-0.07199539360759986
432,-0.07562244123786445
433,-0.10026374759835845
434,-0.057729180123402786
435,-0.06256547841767886
436,-0.04744216114161648
437,-0.03129858084948657
438,-0.028858736304990033
439,-0.05134642728410152
440,-0.045261711682439705
441,-0.04196225520897922
442,-0.05599563379887644
443,-0.034866085908394975
444,-0.056235530719150245
445,-0.051339527911052396
446,-0.02782509719479171
447,-0.057143449248487944
448,-0.06455419067202761
449,-0.06529267017490085
450,-0.061611786708729396
451,-0.06335825570459278
452,-0.05803385879358865
453,-0.06871881529599783
454,-0.12087329498269597
455,-0.02838513939590103
456,-0.03976365444473861
457,-0.04375610160715043
458,-0.03295878684129045
459,-0.039161257031993836
460,-0.05090451602012814
461,-0.0338576201723364
462,-0.04262781896115937
463,-0.042842330143294194
464,-0.07238114048606023
465,-0.03931874131504666
466,-0.022334514804322882
467,-0.010516488906244244
468,-0.009471779916538334
469,-0.009132704896392022
470,-0.008679857367208867
471,-0.008389197729035573
472,-0.008122195145856145
473,-0.0014966251362662085
474,-0.0014611361254141945
475,-0.0014114824284140461
476,-0.001413556044302091
477,-0.0014412693765696414
478,-0.0014776131644685362
479,-0.006914213810689773
480,-0.006956046192549253
481,-0.006873592621676132
482,-0.0071953494795088955
483,-0.0074888355819297025
484,-0.007919398039533919
485,-0.0083803715963125
486,-0.015585967017226124
487,-0.02397559892876914
488,-0.024705638450782975
489,-0.019274756110714098
490,-0.03218763959628814
491,-0.02810143747147191
492,-0.02761945263356745
493,-0.028755623765702884
494,-0.08588879923956913
495,-0.06209291129306725
496,-0.06365941071939757
497,-0.06356746170379632
498,-0.06347635612470895
499,-0.06287298052009258
500,-0.06486913694911386
