time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.630824484572327e-08,7.880260316247849e-08,0.00585648592372111,8.03875850090563e-05,7.807862218101036e-05,0.0,-7.2150554126524485e-06,7.440308788731761e-06,0.19520232324012154,0.0038932831224031163,0.0037847728876593788,0.0,466.2153262380724,466.5108668488822,465.74373665702757,466.0480554578065
0.12000000000000001,-2.663732007955293e-06,3.224731446393616e-06,0.017856212566820528,0.0007755301133034465,6.283107667638328,0.0,-8.641370316207346e-05,0.000141473374761502,0.20478677935632955,0.023700943787491827,-0.020116835865783583,0.0,407.51759322644483,405.3758814022558,407.16621456134476,408.9340645424232
0.18,-1.313542173606943e-06,3.3851704720978735e-05,0.0338875035438228,0.001978883755677785,6.2816411024134275,0.0,0.0002707538827046889,0.001019427827020354,0.3295608962324819,0.011532554503741896,-0.03491921916272375,0.0,446.2577882012871,445.04796027900676,444.34601453663987,443.3474963490461
0.23999999999999996,5.524234919493848e-05,0.00014011640748544293,0.057137536618724276,0.0031340993586406185,6.2799805734101675,0.0,0.001807261411990953,0.002622460324026318,0.44540089075840605,0.031404093881186305,-0.016131537298641394,0.0,440.96884404325084,442.5175835162013,441.4995273583001,443.1357378432773
0.3,0.00024409696450768023,0.00038020996118454716,0.08994097361971565,0.0050893639317957096,6.278867157577569,0.0,0.004608942427811838,0.005605429126268525,0.6479524386125589,0.03485533489254195,-0.023911784248799493,0.0,469.1204830422562,468.51612726993176,468.1486098741538,468.4173762922856
0.36000000000000004,0.0006291787787743765,0.0008464026032691231,0.1348643359097923,0.007232359916175213,6.277541160948154,0.0,0.00838779523027347,0.010181426679958562,0.8493625526002463,0.037385410754799196,-0.018702735471903372,0.0,467.61740154769956,468.0229489299396,468.95627758025154,469.1532254711244
0.4200000000000001,0.001237358691392645,0.0015953743172996988,0.1862321097075727,0.009348837024510281,6.277102637323919,0.0,0.011948685608461856,0.014978986597924382,0.8628843799188949,0.03067927696326805,0.009057445897679536,0.0,408.05962020346936,410.52997654969454,409.6075146237178,409.011427350325
0.48000000000000015,0.0020839068477465725,0.0027044600411350586,0.2420311808220184,0.011410208091478857,6.277746795296704,0.0,0.016205151042327712,0.022199264481984865,0.9969751281383537,0.04084704078880873,0.013897761267520068,0.0,448.7108818723453,449.10347693979594,447.42218794698493,448.249597913193
0.5400000000000001,0.003190492553641709,0.004340233640185459,0.3097990519952997,0.013869380881278204,6.279220825641833,0.0,0.020526580627567445,0.03263375887337052,1.2616967862621244,0.041263042270436916,0.04015766627286126,0.0,485.92346891056195,487.8878392347862,487.8669621945721,487.89873843762865
0.6000000000000002,0.004503233056657517,0.006628896443628092,0.3908868169960555,0.016710966538049377,6.281534277691264,0.0,0.022961816972319953,0.04395682964005945,1.441016079417198,0.05738403149552331,0.035149045556715434,0.0,463.70423318987406,463.3113101844121,461.81268165346864,463.08361168683615
0.6600000000000003,0.005914265420293448,0.009725559197815694,0.48613804203928823,0.019640901942802103,0.00046753117344522366,0.0,0.023796191710953422,0.05968915950869953,1.7336205796168882,0.02023694258172837,0.03562796256345519,0.0,496.53325581883513,496.56878390426834,497.35094498909194,494.6240588916017
0.7200000000000003,0.007323248614000445,0.013740633359062488,0.5943331360149886,0.020709637290893923,0.0023375692014262484,0.0,0.022951960618094538,0.07426576044691512,1.872662003840616,0.012459087025898718,0.020286451935217747,0.0,452.5741728368491,451.33807744811196,452.49930414902315,451.87271699098096
0.7800000000000004,0.008651804073619632,0.018590121248805446,0.7079148400591924,0.02116285654488337,0.00309219235005731,0.0,0.021233863889154582,0.08744050039607033,1.913325548815661,-0.004715634784462623,-0.010997470484973626,0.0,423.2481141756052,420.54717200240026,421.2487733126787,419.7609968917716
0.8400000000000004,0.009861335548650468,0.024295630677397165,0.8267902360434403,0.021149842812857145,0.0021864913089117977,0.0,0.01916682576081014,0.10272341769320491,2.0489543841617053,0.007531300858837178,-0.024900462982428116,0.0,451.73339372502716,450.6110480112486,451.60890548956354,452.5956152683212
0.9000000000000005,0.010969067913866459,0.030924000134533815,0.953946857574265,0.022019260899540427,0.001074211922388102,0.0,0.017896320073514414,0.11829072840039882,2.189339330106895,0.025667085022606038,-0.00815161520036474,0.0,453.4638221068469,454.8072248437427,452.33527382430293,453.79323670284407
0.9600000000000005,0.012025266823671686,0.03842105816570124,1.0855532297153083,0.023973574839430967,0.000491949693095961,0.0,0.01735753778430726,0.13176742424142496,2.197519661712019,0.04367639576588713,-0.013006282010854736,0.0,412.3273373812329,411.8983595801719,410.3386115710681,411.93466418969774
1.0200000000000005,0.013061009901059434,0.04672945065793098,1.2162046108770106,0.026232542306313,6.282538657943546,0.0,0.017241996566615334,0.145382217913491,2.1575967947790473,0.02150131459749556,-0.03491644506594103,0.0,395.7169872479348,393.69490937205046,396.44478148965885,394.4028682279462
1.0800000000000005,0.014119482641048179,0.056067400918011184,1.351245823824515,0.02742045397244741,6.280531713376499,0.0,0.01827518007870151,0.166015039810983,2.3434094010666873,0.016155050569707147,-0.03066550010767652,0.0,467.85263946289007,468.1830959794758,467.759358745398,467.3428000148459
1.1400000000000006,0.015277280030125105,0.06659232835255603,1.4946257472009272,0.028724265766730817,6.278508579115567,0.0,0.020511521990556114,0.1849264106935743,2.4357237991900216,0.03103454058279047,-0.04065606902699734,0.0,440.19697133764544,439.3689942040479,439.33080416798356,440.5627788087535
