hover_episode,hover_rewards
1,74.14087712862059
2,74.14154505079456
3,74.13882985479103
4,76.94828792393247
5,77.0485170208431
6,161.9611608664128
7,62.067582672175114
8,86.57103903418268
9,85.84556753130573
10,85.93611915886495
11,85.77883541274338
12,82.8986009111231
13,194.2439730431222
14,136.13481922165667
15,228.81449001360517
16,228.038529150811
17,229.88293811615702
18,228.6702387630755
19,229.96996779330433
20,96.93171041871159
21,70.94812615702342
22,62.063070045717176
23,61.95880386834007
24,67.84779839722776
25,61.82455275672824
26,76.8275094561595
27,87.94673112825893
28,77.01601425009136
29,76.48161301002042
30,76.91482123850537
31,76.98799157590538
32,74.06511846772777
33,122.11430408441002
34,96.99836917660262
35,67.7465228511231
36,77.09640112236114
37,77.1308099857753
38,77.12787376293417
39,77.20432044045174
40,77.15260607549686
41,77.12879019302545
42,77.12895996677871
43,77.12515369037416
44,77.12478097851523
45,77.12811839126041
46,77.12777147423499
47,77.1242959525601
48,77.12785518586256
49,79.96162681087691
50,82.77824851809537
51,77.06065248703732
52,79.98101775689578
53,74.12269404732503
54,67.98072054958378
55,124.55410166686646
56,111.1883221895191
57,105.55709770128225
58,122.88439253831571
59,241.87140893320725
60,181.86506422360253
61,244.41171598451155
62,240.5870620000199
63,242.71464163090758
64,242.4145631228352
65,241.6771184711555
66,240.35811684974215
67,241.90016949991613
68,97.22346219218409
69,82.92819057177975
70,88.54427981114168
71,82.94861663815021
72,88.52437159626722
73,85.63696679507424
74,73.92275695915384
75,97.37757899796455
76,91.69809738861402
77,76.9926482054509
78,97.71180541769262
79,83.12880258370868
80,88.95448151796029
81,82.87937005543363
82,70.65988358874925
83,96.61090207996241
84,84.8553892542753
85,84.97735783552025
86,76.89400219638523
87,73.62332573156449
88,88.12615779306648
89,85.39409117382134
90,88.20599242323408
91,85.41487546107098
92,85.45415528146123
93,85.43543734787926
94,88.25923382132595
95,85.37984182063825
96,85.40708656665261
97,85.37352666599266
98,88.02664178162283
99,87.93522956705252
100,87.9046427581722
101,87.46639726291424
102,84.02843547301681
103,79.23974590018179
104,73.57189020208286
105,79.80763130529189
106,74.09789236470557
107,106.14231326000278
108,68.08841829946947
109,82.53620020297807
110,70.92403163703281
111,65.15715559590603
112,67.83532654892998
113,64.52489868597168
114,62.12040876782824
115,70.82357347001621
116,80.06409442865167
117,73.28607663950017
118,83.071506339737
119,89.20298015387911
120,86.74493133652139
121,86.9015683665571
122,93.36574237346633
123,87.10255094425717
124,86.50480664641758
125,93.22408403665364
126,88.24769338139554
127,85.41378464856058
128,85.38307732027711
129,88.29845665300643
130,88.1070973005214
131,85.41030085063453
132,85.3749732803411
133,88.24758715457178
134,85.35717942148415
135,85.3647102095387
136,88.220567732499
137,88.28010376762535
138,85.36787687603957
139,88.15731146104366
140,88.22588763219197
141,85.4557677310182
142,85.34794657852005
143,85.32029395986201
144,85.44158140192636
145,85.36191373689174
146,85.4215526423598
147,85.37114940832961
148,85.37458082989939
149,85.3115036327899
150,85.42837965819942
151,85.43514555316956
152,85.43084926212948
153,85.40985294898248
154,85.42904128532408
155,85.28277389564238
156,85.38768786304804
157,88.09212190604627
158,85.42180792077933
159,85.42082858843521
160,85.4116078729597
161,88.25128601462777
162,88.10318584067471
163,88.30607185771403
164,87.93098581339956
165,88.22982798034329
166,85.38257358435433
167,85.44908142977742
168,85.24592223198411
169,85.33663455076655
170,88.20873423051268
171,85.2877396166528
172,85.36752295671785
173,85.43398167296752
174,85.40560950460423
175,88.18719055538207
176,85.36894997346432
177,85.40967896112335
178,85.3446791394546
179,85.33103942834235
180,85.37178197271813
181,128.9827375302479
182,205.36854583002443
183,197.97761954976878
184,202.83910812844618
185,88.75465706931038
186,79.48066571051223
187,219.43305661604168
188,85.87617607236095
189,85.83872528290695
190,85.8902203582439
191,85.82796014532144
192,85.86958785373027
193,85.90523668832219
194,85.91421875754394
195,85.8213163017317
196,85.87000912028
197,85.83928097326387
198,85.8514328558148
199,85.94825764902887
200,85.78138111685182
201,85.85894181523066
202,85.90388471831147
203,85.88606561841758
204,85.8575683918963
205,85.84378098481206
206,85.70879513360138
